O*NET-SOC Code,Title,High School Diploma or Less,"Post-Secondary Certificate, Some College, or Associate's Degree",Bachelor's Degree,Postgraduate Degree,Values Achievement,Values Independence,Values Recognition,Values Relationships,Values Support,Values Working Conditions,Interest in Artistic Aspect,Interest in Conventional Aspect,Interest in Enterprising Aspect,Interest in Investigative Aspect,Interest in Realistic Aspect,Interest in Social Aspect
37,11-9071.00,Gambling Managers,0.565,0.367,0.067,0.0,0.714,0.857,0.619,0.857,0.714,0.739,0.143,0.777,0.959,0.189,0.42,0.376
39,11-9081.00,Lodging Managers,0.195,0.089,0.716,0.0,0.714,0.857,0.619,1.0,0.571,0.596,0.207,0.759,0.899,0.167,0.35,0.603
40,11-9111.00,Medical and Health Services Managers,0.036,0.21399999999999997,0.464,0.286,0.714,0.857,0.667,0.857,0.81,0.857,0.189,0.804,0.807,0.55,0.307,0.606
41,11-9121.00,Natural Sciences Managers,0.0,0.073,0.351,0.5760000000000001,0.761,0.857,0.714,0.476,0.761,0.833,0.359,0.599,0.804,0.819,0.434,0.424
42,11-9121.01,Clinical Research Coordinators,0.07,0.267,0.601,0.061,0.714,0.761,0.667,0.619,0.524,0.714,0.219,0.72,0.61,0.82,0.283,0.51
43,11-9121.02,Water Resource Specialists,0.0,0.0,0.5,0.5,0.857,0.761,0.714,0.619,0.571,0.761,0.254,0.596,0.504,0.829,0.636,0.369
44,11-9131.00,Postmasters and Mail Superintendents,0.621,0.245,0.134,0.0,0.571,0.81,0.571,0.667,0.761,0.714,0.153,0.849,0.857,0.166,0.297,0.481
45,11-9141.00,"Property, Real Estate, and Community Association Managers",0.15,0.2,0.55,0.1,0.714,0.81,0.619,0.619,0.524,0.69,0.25,0.766,0.967,0.317,0.449,0.499
46,11-9151.00,Social and Community Service Managers,0.072,0.10400000000000001,0.504,0.32,0.761,0.81,0.714,0.904,0.619,0.786,0.334,0.65,1.0,0.307,0.143,0.764
47,11-9161.00,Emergency Management Directors,0.046,0.137,0.591,0.227,0.714,0.81,0.714,0.761,0.714,0.714,0.254,0.666,0.713,0.651,0.514,0.571
48,11-9171.00,Funeral Home Managers,0.255,0.679,0.012,0.053,0.81,0.761,0.714,0.904,0.381,0.69,0.266,0.68,0.93,0.291,0.427,0.626
50,11-9179.01,Fitness and Wellness Coordinators,0.038,0.038,0.423,0.5,0.81,0.857,0.761,0.857,0.571,0.69,0.303,0.523,0.771,0.399,0.426,0.803
51,11-9179.02,Spa Managers,0.062,0.728,0.206,0.004,0.714,0.81,0.714,0.761,0.571,0.643,0.219,0.81,1.0,0.166,0.359,0.561
53,11-9199.01,Regulatory Affairs Managers,0.0,0.044,0.739,0.21799999999999997,0.714,0.714,0.619,0.619,0.667,0.667,0.179,0.864,0.916,0.406,0.25,0.377
54,11-9199.02,Compliance Managers,0.089,0.133,0.634,0.144,0.714,0.667,0.667,0.667,0.714,0.643,0.143,0.9,0.847,0.426,0.274,0.443
55,11-9199.08,Loss Prevention Managers,0.136,0.273,0.546,0.046,0.714,0.714,0.571,0.714,0.571,0.619,0.143,0.806,0.804,0.53,0.541,0.386
56,11-9199.09,Wind Energy Operations Managers,0.149,0.504,0.348,0.0,0.857,0.761,0.761,0.714,0.571,0.786,0.143,0.749,0.924,0.434,0.594,0.334
57,11-9199.10,Wind Energy Development Managers,0.0,0.183,0.668,0.149,0.857,0.857,0.81,0.619,0.571,0.786,0.237,0.689,0.959,0.551,0.491,0.34
58,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.0,0.0,0.773,0.22799999999999998,0.904,0.761,0.714,0.857,0.571,0.761,0.209,0.67,0.649,0.616,0.641,0.29
59,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.393,0.026,0.413,0.168,0.904,0.904,0.761,0.761,0.524,0.761,0.503,0.557,0.907,0.236,0.143,0.573
60,13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.076,0.156,0.768,0.0,0.571,0.761,0.524,0.571,0.524,0.596,0.147,0.694,0.694,0.257,0.669,0.243
61,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",0.342,0.299,0.346,0.012,0.571,0.571,0.524,0.571,0.571,0.5,0.226,0.736,0.743,0.271,0.487,0.347
62,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.087,0.044,0.783,0.087,0.571,0.667,0.571,0.667,0.667,0.714,0.16,0.813,0.713,0.273,0.484,0.276
63,13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.131,0.265,0.558,0.046,0.596,0.667,0.547,0.643,0.69,0.654,0.143,0.891,0.686,0.486,0.159,0.376
64,13-1032.00,"Insurance Appraisers, Auto Damage",0.239,0.746,0.015,0.0,0.571,0.714,0.524,0.619,0.714,0.667,0.16,0.78,0.514,0.433,0.721,0.243
66,13-1041.01,Environmental Compliance Inspectors,0.1,0.15,0.75,0.0,0.714,0.571,0.476,0.476,0.619,0.667,0.15,0.834,0.459,0.681,0.653,0.336
67,13-1041.03,Equal Opportunity Representatives and Officers,0.0,0.141,0.658,0.20199999999999999,0.761,0.714,0.619,0.81,0.667,0.714,0.247,0.744,0.767,0.43,0.176,0.606
68,13-1041.04,Government Property Inspectors and Investigators,0.094,0.512,0.393,0.0,0.524,0.714,0.524,0.667,0.761,0.571,0.143,0.894,0.6,0.474,0.441,0.344
69,13-1041.06,Coroners,0.1,0.30000000000000004,0.35,0.25,0.714,0.761,0.571,0.571,0.667,0.619,0.217,0.687,0.56,0.694,0.583,0.447
70,13-1041.07,Regulatory Affairs Specialists,0.0,0.0,0.8,0.2,0.619,0.667,0.571,0.571,0.619,0.667,0.143,0.903,0.637,0.476,0.211,0.351
71,13-1041.08,Customs Brokers,0.5,0.30000000000000004,0.2,0.0,0.714,0.714,0.667,0.667,0.571,0.619,0.143,0.876,0.724,0.219,0.347,0.314
72,13-1051.00,Cost Estimators,0.046,0.091,0.818,0.046,0.571,0.667,0.571,0.667,0.524,0.643,0.15,0.92,0.673,0.464,0.443,0.237
73,13-1071.00,Human Resources Specialists,0.135,0.133,0.466,0.266,0.714,0.571,0.571,0.81,0.761,0.69,0.206,0.786,0.821,0.356,0.153,0.54
74,13-1074.00,Farm Labor Contractors,0.9079999999999999,0.09,0.0,0.001,0.429,0.619,0.476,0.714,0.381,0.404,0.143,0.627,0.713,0.22,0.693,0.463
75,13-1075.00,Labor Relations Specialists,0.096,0.23800000000000002,0.333,0.333,0.81,0.667,0.667,0.81,0.714,0.69,0.236,0.666,0.811,0.429,0.18,0.547
76,13-1081.00,Logisticians,0.083,0.166,0.75,0.0,0.761,0.81,0.714,0.714,0.619,0.69,0.15,0.797,0.729,0.547,0.341,0.336
77,13-1081.01,Logistics Engineers,0.0,0.2,0.75,0.05,0.81,0.81,0.81,0.524,0.667,0.81,0.151,0.819,0.513,0.78,0.571,0.173
78,13-1081.02,Logistics Analysts,0.0,0.273,0.636,0.092,0.714,0.714,0.667,0.571,0.524,0.619,0.143,0.977,0.63,0.569,0.46,0.221
80,13-1111.00,Management Analysts,0.0,0.095,0.571,0.33299999999999996,0.761,0.761,0.714,0.857,0.524,0.739,0.226,0.876,0.68,0.78,0.226,0.396
81,13-1121.00,"Meeting, Convention, and Event Planners",0.078,0.513,0.408,0.0,0.714,0.761,0.714,0.904,0.476,0.69,0.349,0.753,1.0,0.204,0.143,0.646
82,13-1131.00,Fundraisers,0.0,0.0,0.905,0.096,0.953,0.857,0.667,0.953,0.571,0.761,0.466,0.59,0.854,0.284,0.143,0.597
83,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.048,0.0,0.857,0.095,0.667,0.619,0.667,0.761,0.714,0.596,0.183,0.851,0.73,0.5,0.204,0.467
84,13-1151.00,Training and Development Specialists,0.087,0.131,0.783,0.0,0.761,0.761,0.667,0.904,0.667,0.69,0.441,0.561,0.537,0.56,0.281,0.809
85,13-1161.00,Market Research Analysts and Marketing Specialists,0.0,0.0,0.565,0.435,0.667,0.571,0.524,0.476,0.619,0.619,0.366,0.66,0.789,0.657,0.153,0.354
86,13-1161.01,Search Marketing Strategists,0.044,0.478,0.478,0.0,0.761,0.619,0.571,0.476,0.619,0.667,0.461,0.67,0.79,0.544,0.143,0.386
88,13-1199.04,Business Continuity Planners,0.0,0.228,0.682,0.091,0.857,0.81,0.667,0.571,0.524,0.739,0.236,0.729,0.759,0.63,0.291,0.437
89,13-1199.05,Sustainability Specialists,0.0,0.044,0.522,0.435,0.761,0.761,0.571,0.619,0.571,0.739,0.357,0.63,0.727,0.743,0.294,0.421
90,13-1199.06,Online Merchants,0.327,0.26,0.413,0.0,0.667,0.714,0.524,0.571,0.429,0.571,0.226,0.893,0.837,0.214,0.334,0.339
95,13-2031.00,Budget Analysts,0.126,0.024,0.775,0.076,0.571,0.619,0.571,0.524,0.667,0.761,0.219,0.989,0.68,0.544,0.143,0.314
96,13-2041.00,Credit Analysts,0.0,0.0,0.95,0.05,0.619,0.619,0.619,0.714,0.619,0.571,0.143,0.984,0.643,0.547,0.143,0.346
98,13-2052.00,Personal Financial Advisors,0.0,0.077,0.577,0.34600000000000003,0.714,0.761,0.667,0.619,0.524,0.667,0.249,0.797,0.84,0.453,0.143,0.6
99,13-2053.00,Insurance Underwriters,0.1,0.167,0.7,0.033,0.619,0.714,0.571,0.714,0.667,0.571,0.143,0.896,0.64,0.503,0.224,0.411
101,13-2061.00,Financial Examiners,0.0,0.0,0.87,0.131,0.667,0.81,0.619,0.714,0.571,0.619,0.143,0.88,0.673,0.506,0.143,0.386
102,13-2071.00,Credit Counselors,0.36,0.24000000000000002,0.4,0.0,0.761,0.761,0.571,0.81,0.524,0.667,0.257,0.78,0.676,0.374,0.143,0.693
103,13-2072.00,Loan Officers,0.061,0.24,0.687,0.011,0.667,0.761,0.667,0.857,0.714,0.619,0.143,0.86,0.719,0.329,0.177,0.537
104,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0.232,0.393,0.336,0.039,0.619,0.524,0.524,0.571,0.619,0.547,0.143,0.97,0.623,0.32,0.184,0.453
105,13-2082.00,Tax Preparers,0.364,0.318,0.318,0.0,0.476,0.524,0.476,0.667,0.524,0.476,0.143,0.946,0.504,0.337,0.281,0.346
107,13-2099.01,Financial Quantitative Analysts,0.0,0.0,0.35,0.65,0.714,0.761,0.714,0.619,0.619,0.714,0.26,0.84,0.489,0.943,0.251,0.23
108,13-2099.04,"Fraud Examiners, Investigators and Analysts",0.0,0.084,0.75,0.166,0.714,0.761,0.619,0.619,0.667,0.714,0.159,0.87,0.661,0.649,0.264,0.263
109,15-1211.00,Computer Systems Analysts,0.008,0.558,0.419,0.014,0.714,0.714,0.714,0.524,0.619,0.739,0.283,0.841,0.323,0.909,0.477,0.27
110,15-1211.01,Health Informatics Specialists,0.0,0.096,0.19,0.7150000000000001,0.714,0.714,0.667,0.667,0.714,0.643,0.276,0.677,0.3,0.89,0.424,0.661
111,15-1212.00,Information Security Analysts,0.0,0.221,0.526,0.253,0.667,0.761,0.619,0.619,0.761,0.81,0.189,0.88,0.403,0.776,0.516,0.29
112,15-1221.00,Computer and Information Research Scientists,0.0,0.083,0.362,0.554,0.81,0.761,0.761,0.524,0.667,0.81,0.409,0.686,0.346,1.0,0.563,0.291
113,15-1231.00,Computer Network Support Specialists,0.042,0.45499999999999996,0.469,0.033,0.761,0.571,0.571,0.429,0.714,0.667,0.143,0.784,0.387,0.659,0.616,0.333
114,15-1232.00,Computer User Support Specialists,0.003,0.47900000000000004,0.473,0.043000000000000003,0.714,0.714,0.619,0.761,0.714,0.739,0.143,0.841,0.33,0.55,0.58,0.474
115,15-1241.00,Computer Network Architects,0.05,0.3,0.55,0.1,0.857,0.761,0.619,0.381,0.619,0.761,0.32,0.724,0.453,0.761,0.58,0.313
116,15-1241.01,Telecommunications Engineering Specialists,0.048,0.524,0.19,0.239,0.714,0.524,0.571,0.476,0.714,0.667,0.267,0.707,0.451,0.623,0.696,0.297
117,15-1242.00,Database Administrators,0.0,0.059000000000000004,0.89,0.052,0.667,0.476,0.619,0.524,0.714,0.714,0.186,0.939,0.409,0.68,0.386,0.326
118,15-1243.00,Database Architects,0.0,0.048,0.762,0.191,0.857,0.761,0.619,0.381,0.524,0.761,0.317,0.856,0.393,0.811,0.384,0.276
119,15-1243.01,Data Warehousing Specialists,0.044,0.132,0.783,0.044,0.857,0.714,0.571,0.381,0.571,0.761,0.231,0.91,0.441,0.673,0.41,0.286
120,15-1244.00,Network and Computer Systems Administrators,0.0,0.375,0.524,0.101,0.667,0.619,0.667,0.571,0.761,0.786,0.143,0.883,0.496,0.579,0.6,0.317
121,15-1251.00,Computer Programmers,0.0,0.11499999999999999,0.88,0.005,0.81,0.714,0.619,0.333,0.714,0.786,0.374,0.829,0.291,0.74,0.473,0.287
123,15-1253.00,Software Quality Assurance Analysts and Testers,0.029,0.441,0.5,0.029,0.714,0.714,0.667,0.619,0.714,0.714,0.241,0.811,0.224,0.823,0.543,0.219
124,15-1254.00,Web Developers,0.125,0.376,0.458,0.042,0.714,0.81,0.714,0.571,0.619,0.761,0.439,0.727,0.413,0.723,0.421,0.32
126,15-1255.01,Video Game Designers,0.25,0.2,0.55,0.0,0.857,0.857,0.619,0.429,0.524,0.739,0.917,0.553,0.574,0.586,0.383,0.336
128,15-1299.01,Web Administrators,0.05,0.35,0.55,0.05,0.81,0.761,0.714,0.524,0.714,0.81,0.326,0.82,0.534,0.631,0.367,0.319
130,15-1299.03,Document Management Specialists,0.05,0.1,0.6,0.25,0.667,0.476,0.476,0.524,0.619,0.596,0.264,0.964,0.431,0.544,0.239,0.341
135,15-1299.08,Computer Systems Engineers/Architects,0.0,0.728,0.227,0.046,0.81,0.81,0.81,0.619,0.667,0.69,0.281,0.774,0.401,0.824,0.619,0.291
136,15-1299.09,Information Technology Project Managers,0.0,0.33299999999999996,0.381,0.28500000000000003,0.857,0.81,0.714,0.476,0.476,0.739,0.261,0.756,0.86,0.526,0.246,0.38
137,15-2011.00,Actuaries,0.0,0.0,0.786,0.214,0.667,0.667,0.619,0.524,0.619,0.714,0.169,0.891,0.487,0.634,0.259,0.353
138,15-2021.00,Mathematicians,0.0,0.0,0.083,0.9159999999999999,0.857,0.761,0.81,0.286,0.333,0.761,0.461,0.753,0.166,1.0,0.429,0.281
139,15-2031.00,Operations Research Analysts,0.0,0.0,0.333,0.667,0.857,0.81,0.714,0.286,0.476,0.739,0.306,0.824,0.446,0.894,0.274,0.291
140,15-2041.00,Statisticians,0.0,0.096,0.143,0.762,0.761,0.81,0.714,0.667,0.429,0.667,0.251,0.847,0.26,0.947,0.296,0.241
141,15-2041.01,Biostatisticians,0.0,0.0,0.125,0.875,0.81,0.761,0.714,0.476,0.429,0.714,0.379,0.676,0.266,1.0,0.369,0.381
143,15-2051.01,Business Intelligence Analysts,0.0,0.046,0.682,0.273,0.81,0.524,0.571,0.429,0.524,0.761,0.279,0.801,0.637,0.78,0.16,0.269
144,15-2051.02,Clinical Data Managers,0.0,0.05,0.85,0.1,0.619,0.571,0.571,0.476,0.619,0.547,0.164,0.981,0.471,0.816,0.184,0.364
146,15-2099.01,Bioinformatics Technicians,0.0,0.0,0.509,0.491,0.667,0.714,0.619,0.619,0.714,0.714,0.226,0.863,0.143,0.917,0.544,0.241
147,17-1011.00,"Architects, Except Landscape and Naval",0.0,0.048,0.429,0.524,0.81,0.857,0.81,0.524,0.619,0.786,0.65,0.589,0.493,0.597,0.744,0.359
148,17-1012.00,Landscape Architects,0.0,0.0,0.679,0.322,0.714,0.81,0.667,0.476,0.429,0.739,0.653,0.53,0.523,0.67,0.774,0.376
149,17-1021.00,Cartographers and Photogrammetrists,0.0,0.575,0.3,0.125,0.714,0.667,0.524,0.476,0.571,0.667,0.509,0.761,0.233,0.736,0.659,0.253
150,17-1022.00,Surveyors,0.158,0.369,0.474,0.0,0.571,0.714,0.524,0.761,0.571,0.571,0.253,0.783,0.276,0.689,0.734,0.236
151,17-1022.01,Geodetic Surveyors,0.037,0.074,0.815,0.074,0.667,0.619,0.571,0.571,0.619,0.619,0.203,0.786,0.234,0.771,0.804,0.226
152,17-2011.00,Aerospace Engineers,0.0,0.076,0.59,0.333,0.714,0.761,0.761,0.619,0.714,0.786,0.35,0.661,0.369,0.877,0.767,0.183
153,17-2021.00,Agricultural Engineers,0.0,0.05,0.75,0.2,0.761,0.81,0.667,0.476,0.524,0.81,0.314,0.561,0.37,0.897,0.881,0.246
154,17-2031.00,Bioengineers and Biomedical Engineers,0.0,0.044,0.435,0.521,0.761,0.857,0.714,0.714,0.714,0.761,0.329,0.54,0.226,1.0,0.796,0.416
155,17-2041.00,Chemical Engineers,0.0,0.0,0.818,0.182,0.761,0.761,0.81,0.571,0.571,0.761,0.251,0.659,0.261,0.819,0.897,0.151
156,17-2051.00,Civil Engineers,0.0,0.0,0.857,0.14300000000000002,0.761,0.857,0.761,0.571,0.667,0.786,0.307,0.661,0.414,0.73,0.909,0.256
157,17-2051.01,Transportation Engineers,0.0,0.091,0.773,0.137,0.761,0.714,0.761,0.571,0.761,0.714,0.296,0.673,0.434,0.689,0.796,0.28
158,17-2051.02,Water/Wastewater Engineers,0.0,0.0,0.696,0.305,0.904,0.761,0.761,0.476,0.476,0.833,0.264,0.647,0.414,0.764,0.803,0.251
159,17-2061.00,Computer Hardware Engineers,0.0,0.069,0.483,0.448,0.761,0.714,0.714,0.571,0.714,0.857,0.263,0.754,0.269,0.806,0.827,0.256
160,17-2071.00,Electrical Engineers,0.0,0.11,0.816,0.073,0.81,0.761,0.761,0.619,0.619,0.786,0.287,0.716,0.33,0.759,0.907,0.224
161,17-2072.00,"Electronics Engineers, Except Computer",0.0,0.138,0.833,0.029,0.761,0.761,0.81,0.476,0.667,0.81,0.29,0.669,0.231,0.829,0.89,0.227
162,17-2072.01,Radio Frequency Identification Device Specialists,0.056,0.101,0.748,0.095,0.571,0.714,0.476,0.333,0.667,0.596,0.2,0.769,0.2,0.687,0.753,0.193
163,17-2081.00,Environmental Engineers,0.0,0.048,0.619,0.33399999999999996,0.81,0.714,0.81,0.619,0.619,0.81,0.291,0.613,0.443,0.873,0.736,0.316
165,17-2111.02,Fire-Prevention and Protection Engineers,0.0,0.05,0.85,0.1,0.81,0.81,0.761,0.429,0.619,0.786,0.216,0.61,0.403,0.754,0.869,0.423
166,17-2112.00,Industrial Engineers,0.075,0.184,0.586,0.155,0.761,0.81,0.81,0.524,0.714,0.761,0.236,0.773,0.503,0.697,0.671,0.2
167,17-2112.01,Human Factors Engineers and Ergonomists,0.0,0.0,0.4,0.6,0.904,0.81,0.714,0.619,0.476,0.857,0.367,0.606,0.379,0.889,0.667,0.314
168,17-2112.02,Validation Engineers,0.0,0.05,0.9,0.05,0.761,0.761,0.714,0.429,0.714,0.81,0.207,0.743,0.319,0.774,0.661,0.209
169,17-2112.03,Manufacturing Engineers,0.0,0.2,0.76,0.04,0.667,0.714,0.714,0.476,0.761,0.786,0.3,0.64,0.437,0.667,0.74,0.216
171,17-2131.00,Materials Engineers,0.0,0.0,0.476,0.524,0.714,0.761,0.667,0.429,0.81,0.761,0.363,0.587,0.294,0.833,0.841,0.196
172,17-2141.00,Mechanical Engineers,0.013,0.45799999999999996,0.523,0.005,0.761,0.761,0.81,0.667,0.667,0.739,0.314,0.664,0.251,0.757,0.943,0.157
173,17-2141.01,Fuel Cell Engineers,0.0,0.0,0.571,0.429,0.857,0.81,0.667,0.381,0.476,0.81,0.231,0.57,0.346,0.761,0.841,0.19
174,17-2141.02,Automotive Engineers,0.0,0.048,0.714,0.239,0.904,0.761,0.81,0.381,0.476,0.833,0.349,0.587,0.291,0.814,0.926,0.184
175,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",0.0,0.012,0.79,0.197,0.714,0.761,0.714,0.524,0.81,0.833,0.219,0.661,0.393,0.8,0.867,0.264
176,17-2161.00,Nuclear Engineers,0.0,0.0,0.81,0.19,0.81,0.714,0.81,0.333,0.761,0.739,0.296,0.631,0.369,0.901,0.714,0.281
177,17-2171.00,Petroleum Engineers,0.076,0.0,0.716,0.208,0.761,0.81,0.761,0.524,0.714,0.81,0.273,0.63,0.414,0.75,0.779,0.257
179,17-2199.03,"Energy Engineers, Except Wind and Solar",0.0,0.137,0.5,0.364,0.761,0.761,0.714,0.571,0.667,0.786,0.293,0.631,0.437,0.667,0.751,0.32
180,17-2199.05,Mechatronics Engineers,0.0,0.327,0.661,0.012,0.81,0.761,0.81,0.571,0.571,0.739,0.346,0.703,0.229,0.81,0.837,0.209
181,17-2199.06,Microsystems Engineers,0.0,0.003,0.306,0.6910000000000001,0.81,0.81,0.761,0.476,0.667,0.81,0.277,0.696,0.187,0.894,0.803,0.196
182,17-2199.07,Photonics Engineers,0.0,0.048,0.524,0.429,0.81,0.81,0.714,0.524,0.476,0.714,0.39,0.589,0.246,0.844,0.831,0.2
183,17-2199.08,Robotics Engineers,0.0,0.2,0.5,0.30100000000000005,0.761,0.81,0.714,0.476,0.714,0.81,0.259,0.653,0.249,0.827,0.871,0.204
184,17-2199.09,Nanosystems Engineers,0.0,0.0,0.143,0.8559999999999999,0.953,0.81,0.81,0.381,0.476,0.857,0.347,0.583,0.36,0.87,0.769,0.194
185,17-2199.10,Wind Energy Engineers,0.0,0.055,0.696,0.249,0.904,0.761,0.761,0.381,0.476,0.81,0.317,0.589,0.446,0.649,0.843,0.204
186,17-2199.11,Solar Energy Systems Engineers,0.11099999999999999,0.296,0.556,0.037,0.857,0.761,0.761,0.429,0.476,0.81,0.301,0.566,0.436,0.717,0.853,0.271
188,17-3012.00,Electrical and Electronics Drafters,0.061,0.514,0.401,0.025,0.571,0.524,0.5,0.571,0.667,0.571,0.469,0.759,0.274,0.507,0.791,0.189
189,17-3013.00,Mechanical Drafters,0.0,0.767,0.202,0.030000000000000002,0.619,0.619,0.524,0.619,0.761,0.643,0.543,0.686,0.176,0.556,0.85,0.176
191,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,0.197,0.724,0.079,0.0,0.714,0.619,0.619,0.476,0.81,0.786,0.143,0.744,0.201,0.726,0.921,0.143
192,17-3022.00,Civil Engineering Technologists and Technicians,0.026,0.7909999999999999,0.183,0.0,0.619,0.667,0.524,0.571,0.761,0.596,0.373,0.761,0.274,0.78,0.831,0.221
